Gridcode,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
100300,2.497 ,-1.141 ,-0.937 ,-1.266 ,0.318 ,-0.870 
100301,2.858 ,-0.841 ,-0.665 ,-1.735 ,0.387 ,-0.874 
100302,2.944 ,-0.677 ,-1.007 ,-1.579 ,0.303 ,-0.782 
100303,2.858 ,-0.549 ,-1.529 ,-0.525 ,0.268 ,-0.524 
100304,3.286 ,-0.487 ,-0.962 ,-0.799 ,0.522 ,-0.632 
100305,3.448 ,-0.297 ,-0.738 ,-0.611 ,0.541 ,-0.555 
100306,3.673 ,-0.134 ,-0.306 ,0.152 ,0.416 ,-0.510 
100307,4.321 ,0.020 ,0.494 ,0.737 ,0.251 ,-0.584 
100308,4.377 ,0.057 ,0.751 ,1.618 ,-0.326 ,-0.617 
100309,1.819 ,-4.355 ,0.235 ,1.753 ,-0.128 ,1.424 
100310,1.736 ,-4.171 ,-0.302 ,1.457 ,-0.316 ,1.356 
100311,1.935 ,-4.663 ,1.256 ,2.022 ,-0.203 ,1.161 
100312,1.958 ,-5.203 ,2.798 ,2.690 ,0.095 ,1.020 
100313,2.209 ,-5.789 ,2.583 ,2.537 ,0.237 ,0.795 
100314,2.433 ,-6.246 ,2.235 ,2.404 ,0.240 ,0.433 
100315,2.175 ,-5.468 ,0.730 ,1.739 ,0.025 ,0.606 
100316,2.048 ,-4.628 ,-0.074 ,0.851 ,-0.348 ,0.923 
100317,1.948 ,-4.128 ,-0.246 ,0.097 ,-0.531 ,0.919 
100318,1.705 ,-3.568 ,-0.866 ,-0.372 ,-0.360 ,1.149 
100319,1.694 ,-3.215 ,-1.267 ,-0.672 ,0.127 ,1.359 
100320,1.595 ,-2.548 ,-0.968 ,-0.919 ,-0.073 ,1.028 
100321,1.778 ,-1.724 ,-1.392 ,-0.508 ,-0.023 ,-0.594 
100322,1.978 ,-1.604 ,-1.130 ,-0.579 ,0.011 ,-0.976 
100323,2.477 ,-1.101 ,-0.648 ,-1.351 ,0.270 ,-0.964 
100324,2.616 ,-0.773 ,-1.063 ,-1.140 ,0.389 ,-0.762 
100325,2.949 ,-0.511 ,-0.845 ,-1.507 ,0.511 ,-0.759 
100326,3.077 ,-0.575 ,-0.795 ,-1.155 ,0.564 ,-0.760 
100327,3.109 ,-0.414 ,-0.862 ,-0.734 ,0.410 ,-0.602 
100328,3.409 ,0.012 ,-0.548 ,-0.223 ,0.362 ,-0.496 
100329,4.023 ,0.123 ,0.007 ,0.559 ,0.485 ,-0.484 
100330,3.978 ,-0.052 ,0.334 ,1.418 ,0.022 ,-0.544 
100331,3.973 ,-0.411 ,0.799 ,1.530 ,-0.734 ,-0.916 
100332,1.761 ,-4.428 ,0.226 ,1.792 ,-0.453 ,1.298 
100333,1.623 ,-4.540 ,-0.259 ,1.712 ,-0.432 ,1.145 
100334,1.652 ,-4.800 ,2.112 ,2.636 ,0.111 ,1.248 
100335,1.904 ,-4.731 ,1.730 ,1.797 ,0.712 ,1.344 
100336,2.015 ,-5.472 ,2.515 ,2.308 ,0.962 ,1.076 
100337,2.469 ,-7.178 ,4.539 ,3.577 ,0.875 ,0.302 
100338,2.496 ,-7.229 ,3.981 ,3.413 ,0.745 ,0.037 
100339,2.118 ,-5.911 ,1.627 ,2.333 ,0.370 ,0.349 
