Gridcode,Viola_adunca,Viola_affinis,Viola_bicolor,Viola_brittoniana,Viola_canadensis,Viola_hastata,Viola_hirsutula,Viola_labradorica,Viola_lanceolata,Viola_nephrophylla,Viola_odorata,Viola_pedata,Viola_renifolia,Viola_rostrata,Viola_rotundifolia,Viola_selkirkii,Viola_septemloba,Viola_septentrionalis,Viola_striata,Viola_tricolor,Viola_triloba,Viola_tripartita,Viola_walteri
100081,0.000 ,0.460 ,0.014 ,0.040 ,0.003 ,0.002 ,0.012 ,0.007 ,0.680 ,0.002 ,0.000 ,0.004 ,0.000 ,0.002 ,0.003 ,0.000 ,0.655 ,0.002 ,0.005 ,0.171 ,0.147 ,0.001 ,0.264 
100082,0.000 ,0.409 ,0.019 ,0.032 ,0.013 ,0.013 ,0.025 ,0.013 ,0.600 ,0.006 ,0.001 ,0.016 ,0.000 ,0.011 ,0.006 ,0.001 ,0.503 ,0.002 ,0.022 ,0.111 ,0.137 ,0.004 ,0.260 
100083,0.000 ,0.305 ,0.215 ,0.009 ,0.004 ,0.017 ,0.020 ,0.003 ,0.250 ,0.000 ,0.000 ,0.015 ,0.000 ,0.004 ,0.002 ,0.000 ,0.572 ,0.000 ,0.001 ,0.027 ,0.156 ,0.047 ,0.739 
100084,0.000 ,0.344 ,0.155 ,0.014 ,0.006 ,0.016 ,0.029 ,0.002 ,0.290 ,0.000 ,0.000 ,0.011 ,0.000 ,0.003 ,0.001 ,0.000 ,0.663 ,0.000 ,0.001 ,0.042 ,0.242 ,0.040 ,0.846 
100085,0.000 ,0.392 ,0.167 ,0.030 ,0.006 ,0.030 ,0.023 ,0.003 ,0.353 ,0.000 ,0.000 ,0.015 ,0.000 ,0.003 ,0.002 ,0.000 ,0.653 ,0.000 ,0.004 ,0.087 ,0.174 ,0.064 ,0.751 
100086,0.000 ,0.403 ,0.164 ,0.035 ,0.005 ,0.036 ,0.025 ,0.003 ,0.364 ,0.000 ,0.000 ,0.015 ,0.000 ,0.002 ,0.002 ,0.000 ,0.659 ,0.000 ,0.005 ,0.102 ,0.181 ,0.074 ,0.775 
100087,0.000 ,0.394 ,0.153 ,0.031 ,0.008 ,0.030 ,0.036 ,0.002 ,0.324 ,0.000 ,0.000 ,0.017 ,0.000 ,0.003 ,0.001 ,0.000 ,0.703 ,0.000 ,0.002 ,0.073 ,0.290 ,0.057 ,0.837 
100088,0.000 ,0.440 ,0.185 ,0.196 ,0.006 ,0.026 ,0.059 ,0.004 ,0.456 ,0.000 ,0.000 ,0.026 ,0.000 ,0.003 ,0.003 ,0.000 ,0.732 ,0.000 ,0.004 ,0.148 ,0.282 ,0.057 ,0.763 
100089,0.000 ,0.453 ,0.122 ,0.055 ,0.001 ,0.003 ,0.016 ,0.002 ,0.628 ,0.000 ,0.000 ,0.004 ,0.000 ,0.000 ,0.001 ,0.000 ,0.806 ,0.000 ,0.001 ,0.216 ,0.099 ,0.010 ,0.781 
100090,0.000 ,0.463 ,0.151 ,0.051 ,0.000 ,0.001 ,0.019 ,0.004 ,0.661 ,0.000 ,0.000 ,0.004 ,0.000 ,0.000 ,0.001 ,0.000 ,0.808 ,0.001 ,0.001 ,0.257 ,0.078 ,0.008 ,0.658 
